"N","J","Distribution","Response","Alpha_Mean","Alpha_SD","Omega_Mean","Omega_SD"
30,10,"heavy","consistent",0.852112461417036,0.0584669967046847,0.855765117436062,0.0600190601051941
30,10,"normal","consistent",0.898807428848974,0.0263886355326607,0.901847256023582,0.0256583005217602
30,10,"skewed","consistent",0.90018034242236,0.0398062188406161,0.903858057089497,0.0377203025393613
30,20,"heavy","consistent",0.938488805430441,0.0270330133651316,0.940474738236187,0.0260973743692617
30,20,"normal","consistent",0.946961299319526,0.0155317137289916,0.948576066757962,0.0148543686007936
30,20,"skewed","consistent",0.938673056499201,0.0262432819463094,0.940914905977933,0.0250645034969851
50,3,"heavy","consistent",0.715880374982839,0.106214057637651,0.732797071174415,0.0972532165560432
50,3,"normal","consistent",0.727627964290265,0.0690576257819513,0.741845584704098,0.0631861554970592
50,3,"skewed","consistent",0.710452374234645,0.0990493683654236,0.726722376131318,0.0896622118569192
50,10,"heavy","consistent",0.869664322675867,0.0574917972470621,0.873446492856854,0.0552512738430201
50,10,"normal","consistent",0.897329039800423,0.0331467800802002,0.899736373713444,0.0320595782095642
50,10,"skewed","consistent",0.892290862643987,0.0429339454704116,0.894522539853542,0.041985957328337
50,20,"heavy","consistent",0.93605484177303,0.0304396187510014,0.937611174333849,0.0294063166229105
50,20,"normal","consistent",0.947868298397709,0.0104233890107719,0.949013715733739,0.0100096715796273
50,20,"skewed","consistent",0.944573794283705,0.0215565874411344,0.945842468370199,0.0208468845350015
100,3,"heavy","consistent",0.708440823902685,0.117682979103758,0.721167820988409,0.0998506150196672
100,3,"normal","consistent",0.723141597714867,0.0649514771601088,0.731521885616466,0.0566225032393389
100,3,"skewed","consistent",0.721497705320139,0.0619367587393311,0.729457463915826,0.0596312043955665
100,10,"heavy","consistent",0.894951779442136,0.0333938096065705,0.896688889774755,0.0324437794308555
100,10,"normal","consistent",0.905822733980175,0.0168580016729832,0.907060859345449,0.0166440013270674
100,10,"skewed","consistent",0.901226371194433,0.0283205003677329,0.902780903695891,0.0276601423989479
100,20,"heavy","consistent",0.941732902049274,0.0204413142798147,0.942749683633309,0.0199334823517049
100,20,"normal","consistent",0.949414130820362,0.0087826684876849,0.95013333993043,0.00859845527915887
100,20,"skewed","consistent",0.94731168408039,0.0104124042078442,0.948184574879209,0.0100758670483914
200,3,"heavy","consistent",0.709193293868724,0.0929717475296965,0.715786459772935,0.0889671888067751
200,3,"normal","consistent",0.746803528534688,0.0460443994073387,0.751613902646107,0.0444725100074917
200,3,"skewed","consistent",0.725884993028746,0.055200862765903,0.730657275280589,0.0531648983301986
200,10,"heavy","consistent",0.889568156761012,0.0316460369450106,0.89098655144742,0.0310451802293059
200,10,"normal","consistent",0.905463642288613,0.0145759796034446,0.906577398955257,0.014323903370734
200,10,"skewed","consistent",0.901496467190237,0.0169258053444487,0.902682458527967,0.0166165023343762
200,20,"heavy","consistent",0.938856883606489,0.0149563034899662,0.939695248398118,0.0145494392491502
200,20,"normal","consistent",0.948708389973799,0.00531585707026066,0.949290369541944,0.00519315527597601
200,20,"skewed","consistent",0.949500085577691,0.0094866257409386,0.950049568689703,0.00921996087493939
300,3,"heavy","consistent",0.729926179070705,0.0767338587988832,0.733737824035153,0.0748029781192068
300,3,"normal","consistent",0.739566220266344,0.0490105601548249,0.742997502227004,0.0481809103468687
300,3,"skewed","consistent",0.741435349783902,0.05197297861931,0.7443468543509,0.0513933687982875
300,10,"heavy","consistent",0.896870945963534,0.0268090904682142,0.897931859336847,0.0264356660642954
300,10,"normal","consistent",0.905337047139658,0.0124373505723369,0.906172790479801,0.0122547656817982
300,10,"skewed","consistent",0.901527425412271,0.0166738236947824,0.902474326955562,0.0163898236605553
300,20,"heavy","consistent",0.943209961178772,0.0151572269059401,0.943792592372335,0.0149286597713335
300,20,"normal","consistent",0.951431824942468,0.00566158092011983,0.951903403947855,0.00557418296809391
300,20,"skewed","consistent",0.950162088936043,0.00772324052622035,0.950687356961858,0.00757531473180644
400,3,"heavy","consistent",0.731987959379195,0.053801455999774,0.735845243910905,0.0519365776024007
400,3,"normal","consistent",0.739523373767242,0.037509115765943,0.742138680743645,0.0371936772597151
400,3,"skewed","consistent",0.742466444124978,0.0445672142120127,0.745191546465217,0.0443478393455161
400,10,"heavy","consistent",0.890270540542213,0.0252452249761282,0.891306375655923,0.0248708292826882
400,10,"normal","consistent",0.908524148955086,0.0142172470516509,0.909221118552685,0.0141066338999051
400,10,"skewed","consistent",0.907561300581412,0.0181610261862417,0.908415115772727,0.0178600002686021
400,20,"heavy","consistent",0.944755682051892,0.0161081027967943,0.945330779944266,0.015840855124325
400,20,"normal","consistent",0.950606431422009,0.00436085109130729,0.951020986375554,0.00430375730244967
400,20,"skewed","consistent",0.950657357177744,0.00752634086319706,0.951063554523514,0.00745590115809642
500,3,"heavy","consistent",0.743234131419503,0.0660526325296311,0.746056613812908,0.0649048242601612
500,3,"normal","consistent",0.741318296512228,0.0411033360239027,0.744321386750115,0.0399518873446978
500,3,"skewed","consistent",0.75364851557942,0.0338700636429837,0.755868478173594,0.0331053123401061
500,10,"heavy","consistent",0.896054785801161,0.0229087012760729,0.897044483950387,0.0225480980815455
500,10,"normal","consistent",0.905170708571697,0.0101993069562122,0.905945668372544,0.0100425031152187
500,10,"skewed","consistent",0.90655827076588,0.0126087233290634,0.907285738292231,0.0125628722771491
500,20,"heavy","consistent",0.945596048537734,0.0111315877536224,0.946118615538111,0.0109440072036447
500,20,"normal","consistent",0.949576211099246,0.00465152453698697,0.949972592963801,0.00457952072937149
500,20,"skewed","consistent",0.95063866562948,0.00580638177084573,0.951048317537083,0.00572321286550896
800,3,"heavy","consistent",0.73377801937571,0.0548013712332486,0.73636897485618,0.0537409411741017
800,3,"normal","consistent",0.746074801890324,0.0367700748058009,0.74892874213039,0.0357646071829888
