"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
3000,20,"heavy","consistent",0.947019864,0.009513954,0.947425715,0.009370827
4000,20,"heavy","consistent",0.948835155,0.006296591,0.949196956,0.006208597
5000,20,"heavy","consistent",0.951461405,0.007867243,0.951804643,0.007741764
  10, 3,"normal","consistent",0.696740703,0.174263362,0.769151520,0.132240286
  30, 3,"normal","consistent",0.730407139,0.086887976,0.750861954,0.080362254
  50, 3,"normal","consistent",0.727627964,0.069057626,0.741845585,0.063186155
 100, 3,"normal","consistent",0.723141598,0.064951477,0.731521886,0.056622503
 200, 3,"normal","consistent",0.746803529,0.046044399,0.751613903,0.044472510
 300, 3,"normal","consistent",0.739566220,0.049010560,0.742997502,0.048180910
 400, 3,"normal","consistent",0.739523374,0.037509116,0.742138681,0.037193677
 500, 3,"normal","consistent",0.741318297,0.041103336,0.744321387,0.039951887
 800, 3,"normal","consistent",0.746074802,0.036770075,0.748928742,0.035764607
1000, 3,"normal","consistent",0.723630610,0.043976416,0.725740877,0.044040897
2000, 3,"normal","consistent",0.734559431,0.043093941,0.736522491,0.043178757
3000, 3,"normal","consistent",0.742990462,0.036090881,0.745001056,0.035867189
4000, 3,"normal","consistent",0.739314312,0.035804277,0.741292287,0.035812469
5000, 3,"normal","consistent",0.739248261,0.035469180,0.740839930,0.035300815
  30,10,"normal","consistent",0.898807429,0.026388636,0.901847256,0.025658301
  50,10,"normal","consistent",0.897329040,0.033146780,0.899736374,0.032059578
 100,10,"normal","consistent",0.905822734,0.016858002,0.907060859,0.016644001
 200,10,"normal","consistent",0.905463642,0.014575980,0.906577399,0.014323903
 300,10,"normal","consistent",0.905337047,0.012437351,0.906172790,0.012254766
 400,10,"normal","consistent",0.908524149,0.014217247,0.909221119,0.014106634
 500,10,"normal","consistent",0.905170709,0.010199307,0.905945668,0.010042503
 800,10,"normal","consistent",0.905169344,0.009697936,0.905831093,0.009688975
1000,10,"normal","consistent",0.905821386,0.009782832,0.906523364,0.009665424
2000,10,"normal","consistent",0.905478876,0.008152866,0.906138998,0.008085980
3000,10,"normal","consistent",0.907417735,0.010882250,0.907991085,0.010841945
4000,10,"normal","consistent",0.904957394,0.009819173,0.905574731,0.009822634
5000,10,"normal","consistent",0.906070294,0.010745322,0.906741096,0.010669423
  30,20,"normal","consistent",0.946961299,0.015531714,0.948576067,0.014854369
  50,20,"normal","consistent",0.947868298,0.010423389,0.949013716,0.010009672
 100,20,"normal","consistent",0.949414131,0.008782668,0.950133340,0.008598455
 200,20,"normal","consistent",0.948708390,0.005315857,0.949290370,0.005193155
 300,20,"normal","consistent",0.951431825,0.005661581,0.951903404,0.005574183
 400,20,"normal","consistent",0.950606431,0.004360851,0.951020986,0.004303757
 500,20,"normal","consistent",0.949576211,0.004651525,0.949972593,0.004579521
 800,20,"normal","consistent",0.949322041,0.003503183,0.949701268,0.003473242
1000,20,"normal","consistent",0.949854392,0.004302918,0.950186259,0.004282126
2000,20,"normal","consistent",0.951161477,0.003952342,0.951503571,0.003909919
3000,20,"normal","consistent",0.951291469,0.003902802,0.951637796,0.003873602
4000,20,"normal","consistent",0.950141386,0.003890726,0.950477061,0.003887199
5000,20,"normal","consistent",0.950235412,0.003636885,0.950562787,0.003617597
  10, 3,"skewed","consistent",0.595056810,0.264030017,0.699417091,0.175382900
  30, 3,"skewed","consistent",0.707787458,0.116831268,0.741172782,0.088249522
  50, 3,"skewed","consistent",0.710452374,0.099049368,0.726722376,0.089662212
 100, 3,"skewed","consistent",0.721497705,0.061936759,0.729457464,0.059631204
